step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
2300,0.7484,0.068783,14.329328,0.000000,0.031769,4.869715,0.000000,0.180515,8.918765,0.000000
2320,0.7549,0.069353,14.418054,0.000000,0.032489,4.986385,0.000000,0.180875,8.977151,0.000000
2340,0.7614,0.069484,14.524297,0.000000,0.032696,4.909701,0.000000,0.180952,9.075223,0.000000
2360,0.7679,0.069080,14.616739,0.000000,0.032538,4.929379,0.000000,0.180807,9.107846,0.000000
2380,0.7744,0.069744,14.706663,0.000000,0.032915,4.820770,0.000000,0.181482,9.175739,0.000000
2400,0.7809,0.069392,14.745141,0.000000,0.032430,4.705986,0.000000,0.182031,9.261662,0.000000
2420,0.7874,0.069399,14.782930,0.000000,0.031569,4.703482,0.000000,0.182534,9.329455,0.000000
2440,0.7939,0.068960,14.895039,0.000000,0.032016,4.699759,0.000000,0.182717,9.377260,0.000000
2460,0.8005,0.068638,14.957085,0.000000,0.030796,4.555345,0.000000,0.182273,9.496408,0.000000
2480,0.807,0.068697,15.082250,0.000000,0.032128,4.896994,0.000000,0.183069,9.582976,0.000000
2500,0.8135,0.068535,15.170038,0.000000,0.031865,4.962945,0.000000,0.183186,9.660083,0.000000
2520,0.82,0.068277,15.283280,0.000000,0.031607,4.998032,0.000000,0.183277,9.805043,0.000000
2540,0.8265,0.068965,15.388921,0.000000,0.031688,4.983757,0.000000,0.183333,9.880511,0.000000
2560,0.833,0.068576,15.569305,0.000000,0.031044,5.129450,0.000000,0.182630,9.909749,0.000000
2580,0.8395,0.068753,15.686558,0.000000,0.031331,4.922448,0.000000,0.182901,10.027174,0.000000
2600,0.846,0.069617,15.833011,0.000000,0.031230,4.527430,0.000000,0.184202,10.089914,0.000000
2620,0.8525,0.070243,15.976019,0.000000,0.031863,4.505464,0.000000,0.184467,10.106192,0.000000
2640,0.859,0.069414,16.106031,0.000000,0.031319,4.549179,0.000000,0.184643,10.171950,0.000000
